,cnt0,cnt1,cnt2,g_ab,g_bc,g_gh,g_de,g_ef,g_eb,dp_SA1,dp_RA1,dp_EA1,pw_SA1,pw_RA1,pw_EA1,flag_SA1,flag_RA1,flag_EA1,p_b,p_c,p_e
0,10,51,0,11.083984375,25.047604925930482,2.30712890625,22.740476019680482,8.77685546875,13.963620550930482,463.5516216576816,181.34250724226547,173.88158889061532,0.38622190237807147,0.1422374095280861,0.09411123332442502,0,0,0,-3.7278763074068455,-173.83259230047724,2.338622445771591
1,10,17,51,10.107421875,24.410642310976982,1.1102230246251565e-14,24.41064231097697,10.10742187499999,14.303220435976982,464.1320208779744,149.87092266476822,113.03680000000001,0.3799684298067095,0.12269401074912378,2.03820012326943e-15,0,0,0,-3.099919887754001,-140.80615162458383,3.1059764598397805
2,10,17,51,10.107421875,24.410642310976982,1.1102230246251565e-14,24.41064231097697,10.10742187499999,14.303220435976982,464.1320208779744,149.87092266476822,63.58319999999999,0.3799684298067095,0.12269401074912378,1.146487569339054e-15,0,0,0,-3.099919887754001,-140.80615162458383,3.1059764598397805
3,10,17,51,10.107421875,24.410642310976982,1.1102230246251565e-14,24.41064231097697,10.10742187499999,14.303220435976982,464.1320208779744,149.87092266476822,28.259199999999996,0.3799684298067095,0.12269401074912378,5.095500308173573e-16,0,0,0,-3.099919887754001,-140.80615162458383,3.1059764598397805
4,10,17,51,10.107421875,24.410642310976982,1.1102230246251565e-14,24.41064231097697,10.10742187499999,14.303220435976982,464.1320208779744,149.87092266476822,7.064799999999998,0.3799684298067095,0.12269401074912378,1.273875077043393e-16,0,0,0,-3.099919887754001,-140.80615162458383,3.1059764598397805
5,10,17,51,10.107421875,24.410642310976982,1.1102230246251565e-14,24.41064231097697,10.10742187499999,14.303220435976982,464.1320208779744,149.87092266476822,0.0,0.3799684298067095,0.12269401074912378,0.0,0,0,2,-3.099919887754001,-140.80615162458383,3.1059764598397805
6,14,16,11,12.3077392578125,24.74625431932509,10.55908203125,14.18717228807509,1.7486572265625,12.43851506151259,463.826201917115,161.38645833110903,160.37630699105958,0.38321609965330494,0.10775888755226039,0.10208809812096013,0,0,0,-4.596489349517058,-159.27116129748487,0.1025384583089135
7,11,17,12,10.8642578125,23.729261197149754,17.742919921875,5.986341275274754,-6.878662109375,12.865003384649754,464.7534387439883,109.33895180520294,110.68921717885922,0.37368271561562394,0.06569512410148444,0.07823194238289771,0,0,0,-3.581540034612745,-107.53671662280698,1.443872363755375
8,51,16,14,2.220446049250313e-14,22.29690551757814,22.66998291015625,-0.3730773925781108,-22.66998291015623,22.296905517578118,466.0657430534107,51.15106604570633,41.20118891863521,0.36169908674476703,0.0,0.032261309730143586,0,2,0,-1.4960638705790494e-29,-36.05777256299382,15.091901615303982
9,51,51,51,49.99999999999998,50.0,1.1102230246251565e-14,49.999999999999986,49.999999999999964,2.1316282072803006e-14,432.815,17434.606999999978,176.61999999999998,0.0,0.0,3.1846876926084827e-15,1,1,0,-75.85945054077193,-2168.044450540772,15241.562549459206
10,51,16,51,2.220446049250313e-14,21.18606567382814,24.99999999999999,-3.81393432617185,-24.999999999999968,21.186065673828118,467.0936320550952,0.0,-3.5999999999997954,0.3534286562317471,0.0,0.0,0,2,2,-1.4960638705790494e-29,13.75575953197864,13.61029858153512
11,11,51,0,10.0830078125,25.0585798174143,2.38037109375,22.6782087236643,7.70263671875,14.975572004914302,463.5416209403825,182.43701785196347,173.8156781934575,0.3863330126982231,0.1428800587710795,0.0945062775415788,0,0,0,-3.0849625156614637,-173.75508826565954,3.538918077163089
12,9,19,10,8.69140625,25.071430392563343,2.5146484375,22.556781955063343,6.1767578125,16.380024142563343,463.5299109133763,184.55530098822146,173.69669129685954,0.38646326105812095,0.14411666574573964,0.0951771376999917,0,0,0,-2.292185622152157,-173.62466285721632,5.842554009322413
13,13,17,9,6.793212890625,25.086015602573752,2.685546875,22.400468727573752,4.107666015625,18.292802711948752,463.5166200451285,187.25089325224084,173.54829993770755,0.3866112854090302,0.1456766009571781,0.09594366642306693,0,0,0,-1.4002969218334793,-173.48493747740446,8.748145782686294
14,14,19,11,4.7088623046875,25.096733315149322,2.86865234375,22.228080971399322,1.8402099609375,20.387871010461822,463.5068533434527,190.18298552052676,173.3924337563994,0.3867201907339882,0.14735590325947334,0.09667314669560279,0,0,0,-0.6728242969533298,-173.3104542761438,11.93165540767211
15,14,19,11,4.7088623046875,25.096733315149322,2.86865234375,22.228080971399322,1.8402099609375,20.387871010461822,463.5068533434527,190.18298552052676,173.3924337563994,0.3867201907339882,0.14735590325947334,0.09667314669560279,0,0,0,-0.6728242969533298,-173.3104542761438,11.93165540767211
